ID,Category
0,positive
1,negative
2,positive
3,positive
4,negative
5,negative
6,positive
7,positive
8,positive
9,negative
10,negative
11,positive
12,negative
13,negative
14,negative
15,positive
16,positive
17,negative
18,negative
19,positive
20,negative
21,positive
22,negative
23,positive
24,positive
25,positive
26,negative
27,positive
28,negative
29,positive
30,positive
31,positive
32,positive
33,negative
34,positive
35,positive
36,positive
37,positive
38,positive
39,positive
40,negative
41,positive
42,positive
43,negative
44,positive
45,positive
46,negative
47,negative
48,positive
49,negative
50,positive
51,negative
52,negative
53,positive
54,positive
55,positive
56,positive
57,positive
58,positive
59,positive
60,positive
61,positive
62,negative
63,positive
64,negative
65,positive
66,positive
67,positive
68,positive
69,positive
70,negative
71,negative
72,positive
73,negative
74,negative
75,positive
76,positive
77,positive
78,negative
79,positive
80,negative
81,positive
82,negative
83,negative
84,negative
85,positive
86,positive
87,positive
88,negative
89,negative
90,positive
91,positive
92,positive
93,positive
94,positive
95,negative
96,positive
97,positive
98,positive
99,positive
100,positive
101,negative
102,positive
103,positive
104,negative
105,positive
106,positive
107,positive
108,positive
109,positive
110,positive
111,negative
112,negative
113,positive
114,positive
115,positive
116,positive
117,negative
118,negative
119,negative
120,positive
121,positive
122,positive
123,positive
124,negative
125,positive
126,positive
127,positive
128,positive
129,positive
130,positive
131,negative
132,positive
133,negative
134,positive
135,negative
136,positive
137,positive
138,positive
139,positive
140,positive
141,positive
142,positive
143,positive
144,negative
145,positive
146,positive
147,positive
148,negative
149,negative
150,positive
151,negative
152,negative
153,positive
154,positive
155,positive
156,positive
157,positive
158,positive
159,negative
160,negative
161,positive
162,positive
163,positive
164,positive
165,negative
166,negative
167,positive
168,positive
169,negative
170,positive
171,positive
172,positive
173,negative
174,positive
175,positive
176,positive
177,positive
178,positive
179,positive
180,negative
181,negative
182,positive
183,negative
184,positive
185,positive
186,positive
187,positive
188,positive
189,positive
190,negative
191,positive
192,negative
193,positive
194,positive
195,positive
196,positive
197,positive
198,positive
199,positive
200,negative
201,negative
202,negative
203,negative
204,positive
205,positive
206,positive
207,positive
208,positive
209,positive
210,positive
211,negative
212,positive
213,positive
214,positive
215,negative
216,positive
217,positive
218,negative
219,positive
220,negative
221,positive
222,positive
223,positive
224,positive
225,positive
226,negative
227,negative
228,positive
229,positive
230,negative
231,positive
232,negative
233,positive
234,positive
235,positive
236,positive
237,negative
238,negative
239,positive
240,positive
241,positive
242,negative
243,negative
244,positive
245,positive
246,positive
247,positive
248,positive
249,positive
250,negative
251,positive
252,positive
253,positive
254,positive
255,positive
256,positive
257,positive
258,positive
259,negative
260,negative
261,positive
262,positive
263,positive
264,negative
265,positive
266,positive
267,positive
268,positive
269,positive
270,negative
271,positive
272,positive
273,positive
274,negative
275,negative
276,negative
277,positive
278,negative
279,positive
280,positive
281,negative
282,positive
283,positive
284,negative
285,positive
286,positive
287,negative
288,positive
289,positive
290,positive
291,positive
292,negative
293,positive
294,negative
295,negative
296,negative
297,positive
298,positive
299,positive
300,negative
301,negative
302,positive
303,negative
304,negative
305,positive
306,negative
307,negative
308,positive
309,positive
310,positive
311,negative
312,negative
313,negative
314,positive
315,positive
316,negative
317,negative
318,positive
319,positive
320,negative
321,positive
322,positive
323,positive
324,positive
325,negative
326,positive
327,negative
328,negative
329,positive
330,positive
331,negative
332,negative
333,positive
334,positive
335,negative
336,positive
337,negative
338,positive
339,negative
340,positive
341,negative
342,positive
343,positive
344,positive
345,negative
346,positive
347,negative
348,positive
349,positive
350,positive
351,positive
352,positive
353,positive
354,positive
355,positive
356,positive
357,negative
358,negative
359,negative
360,positive
361,negative
362,negative
363,positive
364,positive
365,positive
366,negative
367,positive
368,positive
369,positive
370,negative
371,negative
372,positive
373,negative
374,positive
375,negative
376,positive
377,negative
378,negative
379,negative
380,positive
381,positive
382,negative
383,positive
